school,sport,gender,division,conference,athletes,intl
Alfred State,track_outdoor,Women,D3,Allegheny Mountain Collegiate Conference,19,0
Alfred State,volleyball,Women,D3,Allegheny Mountain Collegiate Conference,12,0
Alfred State,wrestling,Men,D3,Allegheny Mountain Collegiate Conference,33,0
Alfred State,wrestling,Women,D3,Allegheny Mountain Collegiate Conference,16,0
Allegheny,baseball,Men,D3,Presidents' Athletic Conference,41,0
Allegheny,basketball,Men,D3,Presidents' Athletic Conference,18,1
Allegheny,basketball,Women,D3,Presidents' Athletic Conference,13,1
Allegheny,cross_country,Men,D3,Presidents' Athletic Conference,8,0
Allegheny,cross_country,Women,D3,Presidents' Athletic Conference,7,0
Allegheny,field_hockey,Women,D3,Presidents' Athletic Conference,21,1
Allegheny,football,Men,D3,Presidents' Athletic Conference,90,0
Allegheny,golf,Men,D3,Presidents' Athletic Conference,9,1
Allegheny,golf,Women,D3,Presidents' Athletic Conference,6,0
Allegheny,lacrosse,Men,D3,Presidents' Athletic Conference,20,0
Allegheny,lacrosse,Women,D3,Presidents' Athletic Conference,15,0
Allegheny,soccer,Men,D3,Presidents' Athletic Conference,27,4
Allegheny,soccer,Women,D3,Presidents' Athletic Conference,30,0
Allegheny,softball,Women,D3,Presidents' Athletic Conference,16,0
Allegheny,swimming,Men,D3,Presidents' Athletic Conference,4,1
Allegheny,swimming,Women,D3,Presidents' Athletic Conference,12,0
Allegheny,tennis,Men,D3,Presidents' Athletic Conference,14,5
Allegheny,tennis,Women,D3,Presidents' Athletic Conference,11,3
Allegheny,track_indoor,Men,D3,Presidents' Athletic Conference,24,0
Allegheny,track_indoor,Women,D3,Presidents' Athletic Conference,20,0
Allegheny,track_outdoor,Men,D3,Presidents' Athletic Conference,24,0
Allegheny,track_outdoor,Women,D3,Presidents' Athletic Conference,20,0
Allegheny,volleyball,Women,D3,Presidents' Athletic Conference,24,2
Allen,basketball,Men,D2,Southern Intercollegiate Athletic Conference,18,1
Allen,basketball,Women,D2,Southern Intercollegiate Athletic Conference,15,1
Allen,cross_country,Men,D2,Southern Intercollegiate Athletic Conference,11,0
Allen,cross_country,Women,D2,Southern Intercollegiate Athletic Conference,9,0
Allen,football,Men,D2,Southern Intercollegiate Athletic Conference,87,0
Allen,soccer,Women,D2,Southern Intercollegiate Athletic Conference,15,0
Allen,softball,Women,D2,Southern Intercollegiate Athletic Conference,16,0
Allen,track_indoor,Men,D2,Southern Intercollegiate Athletic Conference,22,0
Allen,track_indoor,Women,D2,Southern Intercollegiate Athletic Conference,11,0
Allen,track_outdoor,Men,D2,Southern Intercollegiate Athletic Conference,22,0
Allen,track_outdoor,Women,D2,Southern Intercollegiate Athletic Conference,11,0
Allen,volleyball,Women,D2,Southern Intercollegiate Athletic Conference,16,0
Allen,wrestling,Men,D2,Southern Intercollegiate Athletic Conference,34,0
