athlete_id,first_name,last_name,mp,sets,kills,errors,ta,pct,assists,digs,aces,serve_errors,block_solos,block_assists,blocks,recv_errors,points
vb_332ed14ef095,Kay,Lindenfelser,30,106,0,0,7,0.0,11,222,13,12,0,0,0.0,12,13.0
vb_02a3a5d46558,Nina,Conte,4,7,0,0,0,0.0,1,2,1,0,0,0,0.0,1,1.0
vb_1b533bf44c5d,Tayla,Pascoe,28,81,0,1,5,-0.2,21,111,1,1,0,0,0.0,17,1.0
vb_2a533ca1ede4,Morgan,Johnson,26,95,9,4,47,0.106,447,167,18,18,0,0,0.0,1,27.0
vb_10107ac4ab35,Ava,Norfolk,30,104,94,51,244,0.176,13,38,11,14,11,71,82.0,0,151.5
vb_d50530a4319f,Laurell,McClurkin,5,5,0,0,2,0.0,0,0,1,1,0,2,2.0,0,2.0
vb_4cbc842188f7,Caroline,Mercer,30,112,3,3,18,0.0,150,498,14,7,0,0,0.0,28,17.0
vb_5450285be178,Bailey,Maxin,8,15,0,0,0,0.0,0,14,0,2,0,0,0.0,1,0.0
vb_5b0315c3c0b4,Olivia,Weiseman,30,112,356,135,1144,0.193,87,402,25,13,2,41,43.0,34,403.5
vb_8977430671a0,Elisa,Rugiero,30,109,241,86,729,0.213,7,66,0,1,5,47,52.0,2,269.5
vb_9b9feb115395,Riley,Evans,13,18,9,4,25,0.2,1,0,0,0,0,6,6.0,0,12.0
vb_29d0605bc0aa,Lindsey,Scammell,30,112,144,30,381,0.299,1,46,10,8,26,109,135.0,1,234.5
vb_accc61691170,Sarah,Stephenson,29,105,313,106,809,0.256,2,41,0,0,3,56,59.0,1,344.0
vb_3cd665ac2cb1,Ella,Meedel,6,8,2,1,6,0.167,0,0,0,0,0,1,1.0,0,2.5
vb_ad53c279e686,Lexi,Muck,4,8,6,6,28,0.0,0,2,0,0,0,3,3.0,0,7.5
vb_ffee5c1ab1a4,Zoee,Smith,7,8,2,2,12,0.0,0,2,0,0,0,0,0.0,2,2.0
vb_a12cac2a598c,Alayna,Jones,17,36,33,25,152,0.053,0,20,0,1,0,7,7.0,3,36.5
vb_cf6e088eb13a,Grace,Petro,25,94,11,1,45,0.222,470,152,24,17,0,0,0.0,0,35.0
