athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_ae200c86e9e8,Chase,Yesavage,17,17,1,3,4,8,2,0,39,9,20,,0,0,,,,,
lax_b12077cd1fd7,Colin,Arcari,7,0,1,2,3,4,1,0,2,2,1,,0,0,,,,,
lax_dbeda1ab37f8,Hunter,VanZant,16,0,1,2,3,3,1,0,20,5,7,,0,0,,,,,
lax_7ce879f67262,Chris,Funston,16,0,2,0,2,10,6,0,34,8,8,,0,0,,,,,
lax_dec8f69f7b33,Ben,Blum,17,17,0,2,2,1,1,0,25,14,4,,0,0,,118,10.05,132,0.528
lax_f70ca6940d4e,Connor,Jablonski,16,0,0,2,2,0,0,0,27,5,11,,0,0,,,,,
lax_90c9d926fc03,Anthony,Cuccio,10,0,1,0,1,2,2,0,10,2,2,,0,0,,,,,
lax_a8b476a658a3,Dan,Hyland,17,0,1,0,1,5,5,0,13,4,4,,0,0,,,,,
lax_b9ea3b870fdd,Logan,Potts,10,0,1,0,1,2,1,0,8,0,0,,19,28,,,,,
lax_ddc00b90287d,Jamison,Reid,3,0,1,0,1,2,1,0,1,2,0,,0,0,,,,,
lax_8f224572d390,Ryan,Weber,4,0,1,0,1,4,4,0,2,2,0,,0,0,,,,,
lax_b42296cd366f,Michael,Hoey,17,0,0,1,1,3,1,0,24,1,4,,0,0,,,,,
lax_0efdecbc263a,Bryce,Ruwet,8,0,0,1,1,2,1,0,8,0,3,,0,0,,,,,
lax_f5aa68b6bb9d,Braydn,Strzelecki,3,0,0,1,1,1,0,0,4,1,1,,5,10,,,,,
lax_a4f5fb10de04,Noah,Williams,6,0,0,1,1,1,1,0,3,1,2,,0,0,,,,,
lax_560528cea4ff,Mike,Friel,17,17,0,0,0,2,1,0,28,5,8,,0,0,,,,,
lax_8c9293961904,Will,Kasica,5,0,0,0,0,0,0,0,0,0,0,,0,0,,4,6.79,6,0.6
lax_c7d71600c380,Declan,Kiely,3,0,0,0,0,0,0,0,2,0,2,,0,0,,,,,
lax_ca4d6ba423b6,Camillo,Marusco,11,0,0,0,0,1,1,0,3,2,1,,0,0,,,,,
lax_0ff594e79774,Quinn,Menet,6,0,0,0,0,0,0,0,6,0,5,,0,0,,,,,
lax_e1c9b1172a5d,Tommy,Pedicone,6,0,0,0,0,0,0,0,3,1,2,,0,0,,,,,
lax_9f592bf51f6b,Noah,Russ,4,0,0,0,0,0,0,0,5,2,0,,11,16,,,,,
lax_497eeab5e95a,Tyler,Sininsky,11,0,0,0,0,0,0,0,17,4,8,,0,0,,35,7.44,49,0.583
lax_11dbe7d8e115,Ty,Thermann,6,0,0,0,0,0,0,0,8,0,0,,16,24,,,,,
lax_7487d96fb1c3,Logan,Millie,16,16,27,8,35,144,75,1,63,38,3,,0,0,,,,,
lax_4313da98129f,Joey,King,13,12,21,3,24,66,40,1,24,55,8,,0,1,,,,,
lax_939c0a399b79,Quentin,Cato,15,15,15,6,21,45,28,0,33,57,3,,0,0,,,,,
lax_ceaf516e2b58,Dom,Baker,16,16,10,3,13,44,25,0,98,40,37,,0,0,,,,,
lax_0f01d3d21a93,Austin,Parker,16,16,4,9,13,33,17,0,114,57,4,,191,375,,,,,
lax_6c181eebd311,Kasey,Estep,7,6,7,3,10,39,23,0,33,34,5,,0,1,,,,,
lax_77da63d2dce8,Hunter,Crouse,16,11,1,3,4,11,8,0,42,39,3,,14,59,,,,,
lax_258c2cb71196,Joshua,Larabee,11,3,1,1,2,6,2,0,13,24,0,,2,20,,,,,
lax_9b0e94d983e0,Chase,Kyler,13,1,0,2,2,4,0,0,17,19,1,,0,0,,,,,
lax_1c7593451b0e,Mason,Simmons,11,0,1,0,1,12,4,0,14,18,1,,0,0,,,,,
lax_aebeb8579c12,Bereket,Debebe,16,16,0,0,0,0,0,0,41,14,19,,0,0,,,,,
lax_81edd031a985,James,Kliner,16,16,0,0,0,0,0,0,24,20,7,,0,0,,,,,
lax_4af785b325ec,Mequan,Maxwell,6,0,0,0,0,0,0,0,5,0,2,,0,0,,,,,
lax_99c29c78ec4a,Brenden,McCready,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_3a0e4ed3cba0,Ethan,Narby,16,16,0,0,0,5,4,0,81,61,5,,0,0,,319,20.15,281,0.468
lax_8911411b79e0,Benjamin,Paserk,5,0,0,0,0,1,1,0,0,2,0,,0,0,,,,,
lax_23c73931d2b9,Joey,Peterson,16,16,0,0,0,0,0,0,9,21,5,,0,0,,,,,
lax_575563252285,Jacob,Potts,5,0,0,0,0,0,0,0,4,4,2,,0,0,,,,,
