athlete_id,first_name,last_name,gp,goals,assists,points,plus_minus,minutes,goalie_ga,goalie_gaa,goalie_saves,goalie_sv_pct
ih_ffef8b9ee91a,Ivan,Zadvernyuk,30,8,14,22,-8,19,,,,
ih_4e50cc7a6379,Ryan,Shostak,25,2,3,5,-6,4,,,,
ih_2974ebc75296,Ryan,St. Louis,30,8,7,15,-15,6,,,,
ih_b891f7a33bb0,Ashton,Bynum,16,1,0,1,-3,2,,,,
ih_dbc4cc24dd8b,Trip,Pendy,2,0,0,0,-1,0,,,,
ih_80a982129916,Ben,Poitras,31,10,8,18,-14,11,,,,
ih_91fbd67fb953,Michael,Salandra,22,3,6,9,-9,5,,,,
ih_780d83dfdfbb,Brendan,Tighe,22,1,1,2,-10,4,,,,
ih_5c3408bebb62,Charlie,Gollob,30,4,8,12,-8,8,,,,
ih_f6d03feb52ff,Owen,Dyer,29,0,5,5,-18,4,,,,
ih_0f8c1d041bcf,Mike,Cataldo,31,3,4,7,-4,2,,,,
ih_47355c0868ae,Dean,Bauchiero,16,0,1,1,-2,1,,,,
ih_3194c773ab8b,Matthew,Brille,7,0,0,0,-1,0,,,,
ih_05dd96a11632,Matthew,Cataldo,31,4,2,6,-9,6,,,,
ih_7bb480064c44,Ethan,Mistry,31,0,6,6,0,6,,,,
